project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
c0116ebd-d576-42fa-a84b-dfa64afc7411,Nuuk Clay Workshop,"Nuuk Clay Workshop

Final deliverable:
Operational Workshop",2/15/2026,4/1/2029,0,,PlanExe
d17ed687-82b9-414c-9a67-12e0227663ea,Establish Supply Chain Resilience,,2/15/2026,5/30/2026,0,c0116ebd-d576-42fa-a84b-dfa64afc7411,PlanExe
5a995d64-8915-48ae-8d66-f730f056f211,Conduct Arctic Shipping Risk Assessment,,2/15/2026,3/22/2026,0,d17ed687-82b9-414c-9a67-12e0227663ea,PlanExe
9eb63024-a557-417c-98f7-4e3124efa4b1,Collect Historical Shipping Data,"Collect Historical Shipping Data

Description:
Gather historical shipping delay data for Nuuk Harbour from 2018 to 2025, including ice blockage frequency, duration, and average customs clearance times. Use the Danish Maritime Authority (DMA) API to extract logs and compile a dataset for risk analysis.

Resources needed:
• Danish Maritime Authority API access
• Project Manager
• Supply Chain Coordinator
• Data analyst with Python skills",2/15/2026,2/22/2026,0,5a995d64-8915-48ae-8d66-f730f056f211,PlanExe
3d358e7c-7386-49b7-96ef-dd2e6dcabaa5,Run Risk Modeling Simulation,"Run Risk Modeling Simulation

Description:
Use Pandas and Matplotlib in Python to analyze collected shipping data, map delay patterns by month, and simulate the probability of >4-week delays due to storms or ice. Validate results against Greenlandic Port Authority reports.

Resources needed:
• Python environment with Pandas and Matplotlib
• Data analyst
• Supply Chain Coordinator
• Project Manager",2/22/2026,3/1/2026,0,9eb63024-a557-417c-98f7-4e3124efa4b1,PlanExe
c3a04676-4288-4432-aecf-e5a7cf6cbb1b,Validate with Arctic Logistics Expert,"Validate with Arctic Logistics Expert

Description:
Engage a supply chain analyst specializing in Arctic logistics to review the risk model. Submit findings to the Danish Maritime Authority for cross-verification and present results to the Inuit Cultural Heritage Council for cultural context on shipping disruptions.

Resources needed:
• Arctic logistics expert
• Inuit Cultural Heritage Council representative
• Danish Maritime Authority contact
• Project Manager",3/1/2026,3/8/2026,0,3d358e7c-7386-49b7-96ef-dd2e6dcabaa5,PlanExe
76ac3bb8-d40a-44ca-846e-fe54eb78fb47,Finalize Emergency Air Freight Plan,"Finalize Emergency Air Freight Plan

Description:
Simulate emergency air freight response time using Nordic Cargo’s transit data (72-hour max). Confirm integration capability with real-time Arctic shipping alerts and document contingency protocols for rapid activation.

Resources needed:
• Nordic Cargo contact
• IoT monitoring system integrator
• Supply Chain Coordinator
• Financial Analyst",3/8/2026,3/15/2026,0,c3a04676-4288-4432-aecf-e5a7cf6cbb1b,PlanExe
a2af4fad-d7fa-46e5-9b26-f6552e6a83df,Produce Final Risk Assessment Report,"Produce Final Risk Assessment Report

Description:
Compile all findings into a validated Arctic shipping risk assessment report by March 31, 2026. Include a 90% confidence interval for winter delay probabilities and recommendations for biannual import scheduling aligned with navigation windows.

Resources needed:
• Project Manager
• Supply Chain Coordinator
• Financial Analyst
• Legal Advisor (for contract alignment)",3/15/2026,3/22/2026,0,5a995d64-8915-48ae-8d66-f730f056f211,PlanExe
19f11ff5-cee2-4d81-9127-ee8010d3b0d8,Finalize Quarterly Clay Shipment Contract with Danish Supplier,,3/22/2026,4/15/2026,0,5a995d64-8915-48ae-8d66-f730f056f211,PlanExe
ee01930e-be4e-4ce6-afec-93290aee8246,Finalize Clay Contract,"Finalize Clay Contract

Description:
Negotiate and sign a quarterly clay shipment contract with the Danish supplier, ensuring terms include weather-related delay clauses, delivery windows, and compliance with Greenlandic import regulations. This includes preparing bilingual (Danish/Greenlandic) documentation, conducting legal review, and securing approval from the project manager and financial analyst.

Resources needed:
• Project Manager
• Financial Analyst
• Legal Advisor
• Supply Chain Coordinator
• Bilingual contract templates",3/22/2026,3/28/2026,0,19f11ff5-cee2-4d81-9127-ee8010d3b0d8,PlanExe
