Level 1;Level 2;Level 3;Level 4;Task ID
Hong Kong Game;;;;ff827cb8-4d14-45c1-bb00-c79499f5222d
;Project Initiation;;;dfacbf8c-f552-45fd-b070-3ed3181efe1d
;;Secure IP Rights;;65cd5530-c423-4ce0-a52f-df6dc2d9aba2
;;;Identify Rights Holders;512bb346-0a0b-4135-bab1-76709bb5fc04
;;;Assess Rights Availability and Scope;9add1c86-c166-488c-8101-505f6b862dfe
;;;Negotiate Remake Rights;c7c7122b-7126-4893-ab61-55654ae56b2b
;;;Draft Rights Agreement;6062b8b1-d215-4dfc-a0c1-c246e237df00
;;;Finalize and Execute Agreement;62e8e54b-f7cc-4692-bf32-f646ec9bfb01
;;Secure Funding;;1937fa8f-c3cb-43fb-8d23-4cc693e1025c
;;;Outline screenplay adaptation structure;4cf96d54-1c52-4486-a308-3d1e572331a5
;;;Research Hong Kong architectural paranoia;1ff11111-a171-4add-a283-cf08d2d2c4ef
;;;Write first draft of screenplay;1e39cab4-3bac-44c6-a934-794a667659d6
;;;Review and revise screenplay draft;359425ee-88d0-47ea-9fe5-551e2127f8f6
;;;Finalize screenplay for production;acdbd8f4-89a3-474d-84cc-4795a767dc1e
;;Finalize Screenplay Adaptation;;1bf7cc14-3797-421e-9f62-ed33c52e4a55
;;;Outline Hong Kong Adaptation;316ed6f7-93d3-4f1d-a39b-c76dcb175236
;;;First Draft Screenplay;5318c083-f987-4a3c-9c9f-f1d8cb6772c0
;;;Feedback and Revision;5c520086-9597-409e-acbc-c5459e7b09d5
;;;Polish and Finalize Script;e3402f39-970a-492c-8d77-b235cc33949b
;;Select Director;;47baa874-5487-4996-a1ab-f65577631fcd
;;;Define Lead Actor Profile;87288bd4-a113-425b-a774-e69a661ac759
;;;Research Potential Lead Actors;9c5eeb53-507a-4dbc-90a2-21fb49768c58
;;;Conduct Auditions and Screen Tests;90e7d20c-13e0-4998-b18d-27f954f52f02
;;;Negotiate Contract Terms;cc89a3aa-df27-40d9-a163-c14b99a69cb1
;;;Finalize Lead Actor Agreement;338ed60c-b307-4b1d-a851-66910d3d1c0a
;;Cast Lead Actor;;7a2c3c64-1c1a-4039-84c5-6dff814096bb
