Level 1;Level 2;Level 3;Level 4;Task ID
Parasomnia Research Unit;;;;55cc68a7-1535-4473-b69e-b73f710d2f4f
;Project Initiation & Planning;;;2a431dd8-6d4a-4cab-8ce4-43fa90790bce
;;Secure Funding;;d37cdee1-a0c9-42a3-8d3d-d564453a91f5
;;;Prepare DFG grant proposal;96f161ff-a122-4f24-b263-a9c2337dd72a
;;;Secure University of Bonn internal funding;b9635e60-123e-46c8-9707-bca09be96c28
;;;Develop budget justification;24d75bb3-1221-4156-b648-ae58e6468cfc
;;;Explore alternative funding sources;43cb8cd3-f536-4ee5-aa75-45061700e89d
;;Obtain Ethics Approval;;6f880b91-0159-4884-b044-bd94960ebcdf
;;;Prepare ethics application documents;3e92d961-64fe-4834-b0a7-194b22fc36ca
;;;Submit ethics application to committee;44fa6cc4-93e1-4c8d-bb62-bac75cdef09b
;;;Address committee feedback and revisions;a8b53d8c-13d0-418b-985c-bda623c84695
;;;Obtain final ethics approval;d3effc45-93e5-4039-b2a0-60e3943ada60
;;Define Recruitment Channel Strategy;;caaea1ff-0fe9-4917-9475-20d6c494f497
;;;Identify Potential Recruitment Channels;e0176048-5bc5-4f6f-8b8d-938d30d165df
;;;Assess Channel Suitability and Feasibility;f85072c8-99c9-4c12-911f-1b894f62725d
;;;Establish Formal Agreements;faf27850-c287-4550-a712-f90d7a1ac249
;;;Develop Recruitment Materials;82ba7f47-46a3-465d-9e6e-731b3de80e74
;;Define Recruitment Stringency Strategy;;b8e6771c-87eb-4ad3-8767-ab17f2117df3
;;;Review Literature on Stringency Criteria;c335e343-19b4-46d2-b8d2-9ada3adb8df8
;;;Consult Sleep Disorder Neurologist;97e4a4e6-e7ea-42cc-a744-d8ca4cdd5dc7
;;;Pilot Test Stringency Criteria;9a398a37-2b43-4463-a88f-805eff72136f
;;;Refine Criteria Based on Pilot Data;ca7389de-8206-49dc-a55e-73b1a5a75a97
;;Define Data Acquisition Intensity Strategy;;8aafc70a-56e5-4684-aa51-d6402d1df8e1
;;;Define EEG montage and sensor placement;7c8befaf-e7b7-423b-96ff-e221f2e4ac49
;;;Establish PSG data acquisition parameters;885f94b1-ad50-4570-86e4-d22b0c44d06b
;;;Develop data quality control procedures;8e6a11d8-4501-4136-ba5c-61a6d0017a93
;;;Pilot test data acquisition protocols;e0ba4998-c102-4a68-b82e-c458872987d3
;;;Document data acquisition procedures;2b74964a-8c3f-404b-b031-d49c3477cb6d
;;Define Staffing Coverage Model;;e1057570-6988-47c1-bc80-83424331f95c
;;;Analyze workload based on participant projections;99587c7c-08ff-480f-99df-7b14f88f26bc
;;;Develop flexible staffing model;bd265eae-8b4e-4d24-8d8d-b6004fd5b34c
;;;Consult sleep research staffing experts;52d9268f-0f28-470d-ae79-66d12a95b40a
;;;Document staffing coverage model;7e8179cd-a530-4a84-9767-e84556f6207d
;;Define Risk Mitigation Protocol;;622a3cd3-15d1-4498-8d4d-efbeb4dfa0e2
;;;Identify potential risks;4a53ebb8-d324-4765-8f8d-405b679289e5
;;;Assess risk probability and impact;95236961-8da8-4722-b613-271ad2ee7064
;;;Develop mitigation strategies;f745d353-c6b5-4c21-aade-b50448996204
;;;Document risk mitigation protocol;9ed86e57-e062-4a88-b2f8-50600ffc40de
;;;Implement and monitor risk mitigation;6f474d72-8164-40f9-9a46-f889e6f7ab49
;;Define Data Annotation Workflow;;7cf0ea07-fbbf-4ed1-ac01-0706681846b4
;;;Define data annotation categories;986e3c4c-d579-43e8-8257-97f2cd13bd4c
;;;Develop annotation guidelines document;12d90ee0-d0ed-4463-95d9-d21341302ec1
;;;Pilot test annotation workflow;1e18641c-e88c-481f-a728-fdf91332fd3e
;;;Refine guidelines based on pilot test;ccce86f3-1f46-4488-bf1a-96977ab3f9fa
;;;Train annotators on workflow;1ce2c1cd-4f05-433e-85bf-eee3e6a49966
;Facility Acquisition & Setup;;;53f3aab8-5ca4-4f33-b54c-f32986ab02f1
;;Acquire Residential Property;;2abbc96d-d07f-45f5-84a2-5399fb0f01dc
;;;Conduct thorough property inspection;49f9c940-3b98-44e0-862d-bf531ba0d5fc
;;;Engage licensed renovation contractor;00566072-8a38-4326-9822-cee4a23c9b76
;;;Secure preliminary building permit approvals;6095c7ed-62b5-4331-9ad5-36277ab10a3e
;;;Establish relationships with multiple suppliers;db978cc3-a80a-40b5-bd44-22a27ea866ab
;;Renovate Property;;636a8c42-e427-4cee-b3a7-be90edb270e4
;;;Design Equipment Layout;f8463012-fd32-45ca-ba7c-c801c02ac7e1
;;;Prepare Site for Equipment Installation;e71126c0-0602-49e0-b80d-1bab84ecc6f6
;;;Calibrate and Test Equipment;a3b22722-4b42-4e09-aa0c-a5f31c6bd076
;;;Integrate Equipment with IT Infrastructure;63e83bde-db0b-4e6f-b2cc-ec6015310b10
;;Procure Equipment;;3a94ad85-195a-4c7f-9377-d62174a84480
;;;Identify Equipment Vendors;a3ef9bbb-3688-4fab-8680-5d8193d684f5
;;;Obtain Equipment Quotes;9d8eecad-839e-4da0-80da-074e3b0cf350
;;;Evaluate Vendor Proposals;6e373f0c-27a4-45f3-bbf9-37fa37f1601e
;;;Place Equipment Orders;00d44c83-d142-4040-83d9-dac8d6eedcce
;;;Verify Equipment Specifications;a15b7905-470e-4c1a-ba08-879a62afbcc3
;;Install Equipment;;3ceaf8a6-ec88-4020-a3e2-43c1c65108c1
;;;Unpack and Inventory Equipment;84ab5aac-7695-488c-b048-985c0cb89d24
;;;Calibrate and Test Equipment;ebbd8699-610b-43bf-b647-c75cee75b194
;;;Configure Equipment Settings;ee9c0cbc-d8ca-4c1e-96e9-4715bfd9059c
;;;Integrate Equipment with IT Infrastructure;77da9e82-a40b-4a2a-9086-95c4538264e4
;;Establish IT Infrastructure;;1dbd9ee9-aa70-4d6d-bbf8-34e1e98603d1
;;;Design Network Architecture;6002e943-522d-47dc-a684-9151e483de9d
;;;Configure Servers and Storage;2cc66004-00d6-4ed1-b8c0-a29e144c41b0
;;;Implement Data Security Measures;694b8ce9-9b3a-4def-b575-7b08ee0fb36d
;;;Install and Configure Software;a0ccf5f9-3eb3-4cb7-9231-7fc67d7dbaeb
