project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
02dd1a2f-bf5e-42b5-9e4a-733b43585be3,E-Bus Security,"E-Bus Security

Final deliverable:
Secured E-Buses",11/1/2025,6/6/2027,0,,PlanExe
3ff66c5d-3c14-43fe-8613-4a8613b472c3,Project Initiation & Planning,,11/1/2025,12/13/2025,0,02dd1a2f-bf5e-42b5-9e4a-733b43585be3,PlanExe
7dade046-b1f3-4e1f-884c-8905c3d96820,Define Project Scope and Objectives,,11/1/2025,11/5/2025,0,3ff66c5d-3c14-43fe-8613-4a8613b472c3,PlanExe
57af0854-b497-480b-a7d8-3fa6a6de0a84,Gather initial project requirements,"Gather initial project requirements

Description:
Collect all necessary information to understand the project's goals, scope, and constraints. This includes reviewing existing documentation, conducting interviews with stakeholders, and analyzing relevant data.

Resources needed:
• Project Manager
• Business Analyst
• Stakeholders",11/1/2025,11/2/2025,0,7dade046-b1f3-4e1f-884c-8905c3d96820,PlanExe
ec2fb39b-e622-49ad-bbb2-ad59096a8e04,Identify key project stakeholders,"Identify key project stakeholders

Description:
Determine all individuals or groups who have an interest in the project's outcome or who can influence its success. This includes internal teams, external partners, and regulatory bodies.

Resources needed:
• Project Manager
• Business Analyst
• Stakeholder Register",11/2/2025,11/3/2025,0,57af0854-b497-480b-a7d8-3fa6a6de0a84,PlanExe
3ff546b3-9674-4f0a-81c2-faad30b1f5d4,Define project success criteria,"Define project success criteria

Description:
Establish clear and measurable criteria for determining whether the project has achieved its objectives. This includes defining key performance indicators (KPIs) and setting targets for each KPI.

Resources needed:
• Project Manager
• Stakeholders
• KPI Experts",11/3/2025,11/4/2025,0,ec2fb39b-e622-49ad-bbb2-ad59096a8e04,PlanExe
24107db6-4358-47d5-89fe-85482d01adc6,Document project scope statement,"Document project scope statement

Description:
Create a comprehensive document that outlines the project's boundaries, deliverables, assumptions, and constraints. This document will serve as a reference point for managing scope throughout the project lifecycle.

Resources needed:
• Project Manager
• Business Analyst
• Technical Lead",11/4/2025,11/5/2025,0,7dade046-b1f3-4e1f-884c-8905c3d96820,PlanExe
453c3eff-bcd0-478c-85b9-994266c01096,Identify Stakeholders,,11/5/2025,11/9/2025,0,7dade046-b1f3-4e1f-884c-8905c3d96820,PlanExe
f6a01723-0a29-4fad-b4ed-8124d1d53402,Identify Internal Project Stakeholders,"Identify Internal Project Stakeholders

Description:
Objective: Identify all internal individuals or teams who have a vested interest in the project's success or who will be directly impacted by its outcomes.
Scope: This includes project managers, cybersecurity experts, engineers, legal advisors, and e-bus operators.
Steps: Review organizational charts, conduct interviews with department heads, and consult with senior management.
Deliverables: A comprehensive list of internal stakeholders with their roles and responsibilities.

Resources needed:
• Project Manager
• Senior Management
• Department Heads",11/5/2025,11/6/2025,0,453c3eff-bcd0-478c-85b9-994266c01096,PlanExe
e5568996-877d-4298-b2eb-dafdb3ce3705,Identify External Project Stakeholders,"Identify External Project Stakeholders

Description:
Objective: Identify all external entities who have a vested interest in the project's success or who will be directly impacted by its outcomes.
Scope: This includes e-bus vendors, regulatory bodies, public transportation users, Aarhus University, and the University of Southern Denmark.
Steps: Conduct online research, review industry publications, and consult with relevant government agencies.
Deliverables: A comprehensive list of external stakeholders with their roles and interests.

Resources needed:
• Project Manager
• Research Team
• Industry Experts",11/6/2025,11/7/2025,0,f6a01723-0a29-4fad-b4ed-8124d1d53402,PlanExe
