Level 1;Level 2;Level 3;Level 4;Task ID
Clear English;;;;e4f656b7-9c8e-4fa1-af6f-1c3719229008
;Project Initiation and Planning;;;9769e703-2f11-42a1-9749-fd72580b824f
;;Secure Project Funding;;49af8593-64b2-4c1f-a7e4-4a03a8a976ae
;;;Identify potential funding sources;60f6c834-51ea-4f1a-b28e-5ec403593e6a
;;;Prepare grant proposals and applications;ae3e308a-f02b-4a4a-9f73-b917d0bad6ab
;;;Engage with potential funders;5c9ba7d1-1dd5-42fa-8b93-ca818d1a8b1b
;;;Negotiate funding agreements;89fb206a-34d4-4efb-86d7-456ec0bd79f9
;;Establish Editorial Board and Linguistic Review Process;;c53e44f9-311a-46ee-8210-db2cefdf997b
;;;Identify Potential Board Members;991b80dc-5598-484a-aecc-b999f7c315e3
;;;Define Board Member Selection Criteria;294c11cf-2202-4e5e-9742-e62f9ca57804
;;;Develop Review Process Documentation;676c332e-753b-410a-bdae-377b5d880a7b
;;;Establish Communication Protocols;78cc8f71-3998-4184-bed6-75a3029349f4
;;Define Project Scope and Objectives;;4544e20d-ecc8-400f-a048-bd05d0ce179b
;;;Identify Key Stakeholders;c8a5782f-fcd0-45f5-86e5-d4191e029928
;;;Define Project Goals and Objectives;52e2d75b-b7b3-433e-a727-26aea22665b3
;;;Determine Project Deliverables;7dda0192-5640-40da-ac93-7fe96564b9f7
;;;Establish Project Success Criteria;511135ce-401a-4f9e-94bc-75de6ef2f83f
;;;Document Scope Assumptions and Constraints;9de97b06-84f8-44b3-91b3-fb1de379dfa2
;;Develop Project Management Plan;;8dd93a5f-dcd3-4aba-8b1f-7290ab964bb6
;;;Define Project Scope Management Approach;90d91b6e-737c-4ed5-a899-bd204967cc6d
;;;Create Project Schedule;f2d93c92-679b-48fb-9dd3-4784fc3a3510
;;;Allocate Resources to Tasks;be42a9ff-bdf4-40d5-86fd-896fd549c0b2
;;;Establish Communication Plan;a0659513-715d-4000-9da7-6c248e9229ee
;;;Document Project Management Processes;5ab57612-8034-42fe-beae-1839b8ccd64f
;;Conduct Stakeholder Analysis;;d64071c7-3eae-4386-84d9-a33df37532ea
;;;Identify Key Stakeholders;cc2bc94b-223a-4a44-ba3d-168626b0793a
