Level 1;Level 2;Level 3;Level 4;Task ID
Heatwave Resilience;;;;de776189-0236-4388-b04d-afc48a489adc
;Project Initiation & Planning;;;10e3c465-d3ea-4fb6-8cda-4e1a05e1ceab
;;Secure Initial Funding (€2.0M);;fad8ae66-9e5a-4c5d-88c8-30ff8542c55c
;;;Prepare funding proposal documentation;b3a1914e-6b42-45a7-9994-aa2e0ea8163d
;;;Submit funding proposal to agency;958ae5b9-0d84-41eb-bfc7-15df4fe52a8b
;;;Follow up with funding agency;6dbf0363-3799-4287-894c-ca7e3a633715
;;;Negotiate funding agreement terms;1326913b-d12a-4b3a-8b88-8e165ff1a35a
;;;Execute funding agreement;8714f030-83b0-4804-8b69-9a17a3b6e575
;;Establish Project Governance Structure;;ac68518c-3098-41d0-b543-21bd84eb067e
;;;Identify Key Stakeholders;e5158004-8910-46cf-9f41-e44ca3258158
;;;Define Roles and Responsibilities;4a42237b-1fe8-47eb-b68c-17c490306bf5
;;;Establish Decision-Making Processes;0afa0c54-f700-4351-a5a2-69e53937439d
;;;Develop Communication Plan;f81fb67a-251a-43c1-8e61-e7e030393071
;;Develop Detailed Project Schedule;;902160d8-03b4-42fd-ad2f-b3d00fa775ad
;;;Define Task Dependencies and Sequencing;e6045fd7-e770-4a59-a27a-9bd19c921e34
;;;Estimate Task Durations and Resource Needs;2540de3c-ed96-4ba6-9302-1a4fb6e487f2
;;;Develop Initial Project Schedule Draft;9566ff46-5ca8-425c-b3b1-915cb6e1d0f3
;;;Review and Refine Project Schedule;23a84fb3-2f7d-46ac-9202-886caa1f5bef
;;;Finalize and Baseline Project Schedule;19ab7224-fea3-45b7-a6f8-5b5259a99b18
;;Define Data Acquisition Strategy (GDPR Compliance);;4b77ae74-aa8e-4005-a6bb-042878ce1a8b
;;;Identify Applicable GDPR Regulations;5efe4c73-25c1-4365-8cae-c2f79576f710
;;;Assess Data Collection Methods;daab0347-b04b-40e4-9439-277df2db5128
;;;Develop GDPR Compliance Plan;a77a7b73-cf95-4a99-8288-8304ff2ac9ef
;;;Implement Data Security Measures;50f4a194-f134-416c-840d-11fba983f781
