project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
c6af0a21-854d-4792-bd24-ad839e3bb179,Media Rescue,"Media Rescue

Final deliverable:
Digitized Archives",2/1/2026,7/17/2031,0,,PlanExe
f3de96d0-c49b-491a-8f68-494b1eb9fa54,Project Initiation and Planning,,2/1/2026,6/27/2026,0,c6af0a21-854d-4792-bd24-ad839e3bb179,PlanExe
a20e70e4-0cda-49b7-a8f8-1b09c2ff7559,Define Project Scope and Objectives,,2/1/2026,2/17/2026,0,f3de96d0-c49b-491a-8f68-494b1eb9fa54,PlanExe
267044e4-13a6-44e8-85ac-d925a6f8db84,Identify Key Stakeholders and Needs,"Identify Key Stakeholders and Needs

Description:
Identify all relevant stakeholders (archives, funding sources, technical experts) and document their specific needs and expectations for the digitization project. This includes understanding their current archival processes, data formats, and desired outcomes.

Resources needed:
• Project Manager
• Business Analyst
• Stakeholder Representatives",2/1/2026,2/5/2026,0,a20e70e4-0cda-49b7-a8f8-1b09c2ff7559,PlanExe
cb22f57f-a218-464f-87e7-3b4760f29257,Define Measurable Project Objectives,"Define Measurable Project Objectives

Description:
Translate stakeholder needs into specific, measurable, achievable, relevant, and time-bound (SMART) project objectives. This includes defining the scope of the digitization effort (e.g., types of media, time period), target number of items to be digitized, and desired data quality standards.

Resources needed:
• Project Manager
• Technical Lead
• Archival Expert",2/5/2026,2/9/2026,0,267044e4-13a6-44e8-85ac-d925a6f8db84,PlanExe
5a69b84c-f28a-4d60-9b6a-dbe31f9df3e4,Document Project Scope and Deliverables,"Document Project Scope and Deliverables

Description:
Create a detailed project scope document that clearly outlines the boundaries of the project, including what is included and excluded. Define specific deliverables for each phase of the project, such as digitized media files, metadata records, and a data access platform.

Resources needed:
• Project Manager
• Technical Writer
• Archival Expert",2/9/2026,2/13/2026,0,cb22f57f-a218-464f-87e7-3b4760f29257,PlanExe
f9d3b9f0-7952-43ad-8b3a-08b2f9005dd7,Establish Success Criteria and Metrics,"Establish Success Criteria and Metrics

Description:
Define clear success criteria for the project and identify key performance indicators (KPIs) to measure progress and success. This includes metrics for data quality, digitization throughput, cost-effectiveness, and stakeholder satisfaction.

Resources needed:
• Project Manager
• Data Analyst
• Stakeholder Representatives",2/13/2026,2/17/2026,0,a20e70e4-0cda-49b7-a8f8-1b09c2ff7559,PlanExe
97204561-2b3b-4c93-818a-21819c8e32d1,Secure Project Funding,,2/17/2026,5/20/2026,0,a20e70e4-0cda-49b7-a8f8-1b09c2ff7559,PlanExe
75520d0d-99f9-40b1-a63a-5711b25a3051,Identify Potential Funding Sources,"Identify Potential Funding Sources

Description:
Research and identify potential funding sources, including grants, investors, and internal budgets. This involves exploring various funding opportunities and assessing their suitability for the project's goals and objectives.

Resources needed:
• Project Manager
• Grant Writer
• Research Analyst",2/17/2026,3/12/2026,0,97204561-2b3b-4c93-818a-21819c8e32d1,PlanExe
b4e1d4f3-79a2-4017-b86d-054d8b603955,Prepare Grant Proposals and Applications,"Prepare Grant Proposals and Applications

Description:
Develop compelling grant proposals and applications tailored to each identified funding source. This includes writing detailed project descriptions, budgets, and evaluation plans, as well as gathering supporting documentation.

Resources needed:
• Grant Writer
• Project Manager
• Subject Matter Experts",3/12/2026,4/4/2026,0,75520d0d-99f9-40b1-a63a-5711b25a3051,PlanExe
319fd4fe-5d12-4310-86b4-8a8d9951be87,Engage with Potential Funders,"Engage with Potential Funders

Description:
Establish communication and build relationships with potential funders. This involves attending meetings, presenting project proposals, and addressing any questions or concerns they may have.

Resources needed:
• Project Manager
• Executive Leadership
• Development Officer",4/4/2026,4/27/2026,0,b4e1d4f3-79a2-4017-b86d-054d8b603955,PlanExe
8be4e729-884d-4d68-a193-92247e50e898,Negotiate Funding Agreements,"Negotiate Funding Agreements

Description:
Negotiate the terms and conditions of funding agreements with selected funders. This includes reviewing contracts, clarifying expectations, and ensuring that the agreements align with the project's goals and objectives.

Resources needed:
• Project Manager
• Legal Counsel
• Financial Officer",4/27/2026,5/20/2026,0,97204561-2b3b-4c93-818a-21819c8e32d1,PlanExe
b9b391ff-1443-4cfd-b807-9f501bee53f7,Develop Project Management Plan,,5/20/2026,6/5/2026,0,97204561-2b3b-4c93-818a-21819c8e32d1,PlanExe
906760c3-62e0-4f11-94db-8c11d6eb2dad,Define Project Scope and Requirements,"Define Project Scope and Requirements

Description:
Clearly define the project's scope, objectives, and deliverables. Gather detailed requirements from all stakeholders to ensure a shared understanding of the project's goals.

Resources needed:
• Project Manager
• Business Analyst
• Stakeholders",5/20/2026,5/24/2026,0,b9b391ff-1443-4cfd-b807-9f501bee53f7,PlanExe
06a4c5ae-f91c-4bef-b0e6-326ca3f62742,Develop Risk Management Plan,"Develop Risk Management Plan

Description:
Identify potential risks and develop mitigation strategies to minimize their impact on the project. Assess the likelihood and impact of each risk and create a plan to address them proactively.

Resources needed:
• Project Manager
• Risk Management Specialist
• Subject Matter Experts",5/24/2026,5/28/2026,0,906760c3-62e0-4f11-94db-8c11d6eb2dad,PlanExe
33a7ab7d-054e-47e2-b538-540eca350ada,Create Project Schedule and Budget,"Create Project Schedule and Budget

Description:
Develop a detailed project schedule with timelines and milestones. Create a comprehensive budget that includes all project costs, such as personnel, equipment, and materials.

Resources needed:
• Project Manager
• Project Scheduler
• Financial Analyst",5/28/2026,6/1/2026,0,06a4c5ae-f91c-4bef-b0e6-326ca3f62742,PlanExe
86792aac-4296-4755-9574-45a3b3df6ba3,Establish Communication Plan,"Establish Communication Plan

Description:
Define the communication channels, frequency, and stakeholders for project updates. Ensure that all stakeholders are informed of project progress and any issues that arise.

Resources needed:
• Project Manager
• Communication Specialist
• Stakeholders",6/1/2026,6/5/2026,0,b9b391ff-1443-4cfd-b807-9f501bee53f7,PlanExe
46055973-971e-4fe4-acf4-900cc32b4d7b,Conduct Stakeholder Analysis,,6/5/2026,6/17/2026,0,b9b391ff-1443-4cfd-b807-9f501bee53f7,PlanExe
c3fc6fb8-1956-4137-8222-6380cb3021b6,Identify Key Stakeholder Groups,"Identify Key Stakeholder Groups

Description:
Identify all relevant stakeholder groups, including internal teams, external partners, and regulatory bodies. Determine their level of influence and interest in the project.

Resources needed:
• Project Manager
• Business Analyst
• Stakeholder Representatives",6/5/2026,6/8/2026,0,46055973-971e-4fe4-acf4-900cc32b4d7b,PlanExe
a6e94486-eae3-4034-afdd-7bf189628317,Assess Stakeholder Needs and Expectations,"Assess Stakeholder Needs and Expectations

Description:
Conduct interviews, surveys, and workshops to understand the needs, expectations, and concerns of each stakeholder group. Document their requirements and priorities.

Resources needed:
• Project Manager
• Business Analyst
• Communication Specialist",6/8/2026,6/11/2026,0,c3fc6fb8-1956-4137-8222-6380cb3021b6,PlanExe
