project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
55cc68a7-1535-4473-b69e-b73f710d2f4f,Parasomnia Research Unit,"Parasomnia Research Unit

Final deliverable:
Operational Research Unit",3/11/2026,7/26/2033,0,,PlanExe
2a431dd8-6d4a-4cab-8ce4-43fa90790bce,Project Initiation & Planning,,3/11/2026,1/7/2027,0,55cc68a7-1535-4473-b69e-b73f710d2f4f,PlanExe
d37cdee1-a0c9-42a3-8d3d-d564453a91f5,Secure Funding,,3/11/2026,9/7/2026,0,2a431dd8-6d4a-4cab-8ce4-43fa90790bce,PlanExe
96f161ff-a122-4f24-b263-a9c2337dd72a,Prepare DFG grant proposal,"Prepare DFG grant proposal

Description:
Objective: Develop a comprehensive and competitive grant proposal for the Deutsche Forschungsgemeinschaft (DFG). Scope: Include all necessary sections, such as project description, methodology, budget, and team qualifications. Steps: 1. Review DFG guidelines. 2. Draft proposal sections. 3. Obtain internal reviews. 4. Finalize and submit. Deliverables: Complete DFG grant proposal.

Resources needed:
• Principal Investigator
• Postdoctoral Researchers
• Grant Writer",3/11/2026,4/25/2026,0,d37cdee1-a0c9-42a3-8d3d-d564453a91f5,PlanExe
b9635e60-123e-46c8-9707-bca09be96c28,Secure University of Bonn internal funding,"Secure University of Bonn internal funding

Description:
Objective: Obtain internal research funding from the University of Bonn. Scope: Prepare application materials, present project to relevant committees, and secure funding approval. Steps: 1. Identify internal funding opportunities. 2. Prepare application. 3. Present to committee. 4. Secure approval. Deliverables: Approved internal funding application.

Resources needed:
• Principal Investigator
• Department Head
• Research Administrator",4/25/2026,6/9/2026,0,96f161ff-a122-4f24-b263-a9c2337dd72a,PlanExe
24d75bb3-1221-4156-b648-ae58e6468cfc,Develop budget justification,"Develop budget justification

Description:
Objective: Create a detailed and justified budget for the research unit. Scope: Include all anticipated expenses, such as personnel, equipment, supplies, and travel. Steps: 1. Estimate costs for each category. 2. Prepare budget justification document. 3. Obtain internal review. 4. Finalize budget. Deliverables: Complete budget justification.

Resources needed:
• Principal Investigator
• Research Administrator
• Accountant",6/9/2026,7/24/2026,0,b9635e60-123e-46c8-9707-bca09be96c28,PlanExe
43cb8cd3-f536-4ee5-aa75-45061700e89d,Explore alternative funding sources,"Explore alternative funding sources

Description:
Objective: Identify and explore alternative funding sources in case of delays or insufficient funding from primary sources. Scope: Research potential funding opportunities from foundations, industry partners, and other government agencies. Steps: 1. Research funding opportunities. 2. Assess eligibility. 3. Prepare preliminary applications. Deliverables: List of potential alternative funding sources.

Resources needed:
• Principal Investigator
• Grant Writer
• Research Administrator",7/24/2026,9/7/2026,0,d37cdee1-a0c9-42a3-8d3d-d564453a91f5,PlanExe
6f880b91-0159-4884-b044-bd94960ebcdf,Obtain Ethics Approval,,9/7/2026,11/6/2026,0,d37cdee1-a0c9-42a3-8d3d-d564453a91f5,PlanExe
3e92d961-64fe-4834-b0a7-194b22fc36ca,Prepare ethics application documents,"Prepare ethics application documents

Description:
Gather all necessary documents, including the study protocol, consent forms, and data management plan, for submission to the Ethics Committee.

Resources needed:
• Principal Investigator
• Study Coordinator
• Postdoctoral Researchers",9/7/2026,9/22/2026,0,6f880b91-0159-4884-b044-bd94960ebcdf,PlanExe
44fa6cc4-93e1-4c8d-bb62-bac75cdef09b,Submit ethics application to committee,"Submit ethics application to committee

Description:
Formally submit the prepared ethics application to the Ethics Committee of the University of Bonn.

Resources needed:
• Study Coordinator",9/22/2026,10/7/2026,0,3e92d961-64fe-4834-b0a7-194b22fc36ca,PlanExe
