project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
fa5a47f9-294b-4ea0-9476-1e87f7c8af52,GTA Next,"GTA Next

Final deliverable:
Game Release",3/13/2026,2/25/2041,0,,PlanExe
db98d28e-78ad-4e82-bd74-3d7fdac2f3cd,Project Initiation & Planning,,3/13/2026,7/16/2026,0,fa5a47f9-294b-4ea0-9476-1e87f7c8af52,PlanExe
5bb40f37-e724-4d6b-9e1f-6f341efcf830,Define Project Scope and Objectives,,3/13/2026,3/25/2026,0,db98d28e-78ad-4e82-bd74-3d7fdac2f3cd,PlanExe
ead4e7ba-9493-4365-a494-5de7fedc2d80,Identify Key Stakeholders and Needs,"Identify Key Stakeholders and Needs

Description:
Identify all key stakeholders (internal teams, publisher, potential partners) and gather their needs, expectations, and requirements for the project. This includes conducting interviews and workshops.

Resources needed:
• Project Manager
• Lead Game Designer
• Partnerships Manager",3/13/2026,3/16/2026,0,5bb40f37-e724-4d6b-9e1f-6f341efcf830,PlanExe
6912aa04-1dc8-49bb-a093-0164af31a50e,Define Core Project Objectives,"Define Core Project Objectives

Description:
Based on stakeholder input, define the core project objectives, including gameplay pillars, target audience, key features, and overall vision for the game. Ensure objectives are SMART (Specific, Measurable, Achievable, Relevant, Time-bound).

Resources needed:
• Lead Game Designer
• Creative Director
• Market Analyst",3/16/2026,3/19/2026,0,ead4e7ba-9493-4365-a494-5de7fedc2d80,PlanExe
4912e739-cd06-4363-8b13-5cdcc70cca45,Document Project Scope and Deliverables,"Document Project Scope and Deliverables

Description:
Clearly document the project scope, outlining what is included and excluded from the project. Define all key deliverables, including milestones, prototypes, assets, and the final game product. Create a scope document for review.

Resources needed:
• Project Manager
• Technical Director
• Lead Artist",3/19/2026,3/22/2026,0,6912aa04-1dc8-49bb-a093-0164af31a50e,PlanExe
fde8d9ab-16db-4125-81f6-74340fd413a2,Establish Success Metrics and KPIs,"Establish Success Metrics and KPIs

Description:
Establish key performance indicators (KPIs) and success metrics to measure the project's progress and success. These metrics should align with the project objectives and be measurable throughout the development process. Examples include player engagement, sales figures, and critical reception.

Resources needed:
• Project Manager
• Data Analyst
• Marketing Lead",3/22/2026,3/25/2026,0,5bb40f37-e724-4d6b-9e1f-6f341efcf830,PlanExe
25bb688b-0502-4dc9-b43a-367e1c0d6c08,Establish Project Team and Roles,,3/25/2026,4/2/2026,0,5bb40f37-e724-4d6b-9e1f-6f341efcf830,PlanExe
3f4d9f16-1797-4fa9-abba-82713be46efa,Define Team Structure and Roles,"Define Team Structure and Roles

Description:
Establish the organizational structure of the project team, including defining roles, responsibilities, and reporting lines for each team member. This involves identifying the necessary skills and expertise required for each role and creating a clear hierarchy to facilitate effective communication and decision-making.

Resources needed:
• Project Manager
• HR Representative
• Lead Game Designer
• Technical Director",3/25/2026,3/27/2026,0,25bb688b-0502-4dc9-b43a-367e1c0d6c08,PlanExe
a0e41676-0e97-464e-9327-8d7e3e1c08a4,Identify and Recruit Team Members,"Identify and Recruit Team Members

Description:
Source and recruit qualified individuals to fill the defined roles within the project team. This includes creating job descriptions, posting job openings, screening resumes, conducting interviews, and making hiring decisions. The goal is to assemble a team with the necessary skills, experience, and cultural fit to successfully execute the project.

Resources needed:
• HR Representative
• Recruiting Specialist
• Interview Panel
• Technical Assessors",3/27/2026,3/29/2026,0,3f4d9f16-1797-4fa9-abba-82713be46efa,PlanExe
01b6dd07-1394-4831-8e8b-d5c5d1fd1b77,Onboard and Train New Team Members,"Onboard and Train New Team Members

Description:
Provide new team members with the necessary training and resources to effectively perform their roles. This includes introducing them to the project goals, scope, and objectives, providing training on relevant tools and technologies, and integrating them into the team culture. The goal is to ensure that new team members are quickly productive and contribute to the project's success.

Resources needed:
• Project Manager
• Team Leads
• Training Materials
• Mentors",3/29/2026,3/31/2026,0,a0e41676-0e97-464e-9327-8d7e3e1c08a4,PlanExe
664ed95b-d1ac-4342-a48d-810458c9f96b,Establish Communication Protocols,"Establish Communication Protocols

Description:
Define clear communication channels and protocols for the project team to ensure effective information sharing and collaboration. This includes establishing regular team meetings, setting up communication tools (e.g., Slack, email), and defining guidelines for communication frequency and content. The goal is to facilitate open and transparent communication within the team.

Resources needed:
• Project Manager
• Communication Specialist
• Team Leads
• Communication Tools",3/31/2026,4/2/2026,0,25bb688b-0502-4dc9-b43a-367e1c0d6c08,PlanExe
e35db2d9-31fc-4334-919e-ee749cd26ca5,Develop Project Management Plan,,4/2/2026,5/2/2026,0,25bb688b-0502-4dc9-b43a-367e1c0d6c08,PlanExe
902a3f9c-9f9a-49ae-a828-415e32b33373,Define Project Management Methodology,"Define Project Management Methodology

Description:
Select and document the project management methodology (e.g., Agile, Waterfall, Hybrid) to be used throughout the project. This includes defining processes, workflows, and communication protocols.

Resources needed:
• Project Manager
• Senior Developers
• Stakeholders",4/2/2026,4/8/2026,0,e35db2d9-31fc-4334-919e-ee749cd26ca5,PlanExe
86e9fdcf-221c-42c6-8646-b1327b5c4b0d,Create Detailed Project Schedule,"Create Detailed Project Schedule

Description:
Develop a comprehensive project schedule outlining all tasks, dependencies, milestones, and deadlines. Utilize project management software (e.g., Jira, Microsoft Project) to track progress and manage resources.

Resources needed:
• Project Manager
• Team Leads
• Project Management Software",4/8/2026,4/14/2026,0,902a3f9c-9f9a-49ae-a828-415e32b33373,PlanExe
4659013b-9f0f-4d4f-a183-6b276e6b1dd4,Establish Communication Plan,"Establish Communication Plan

Description:
Define the communication channels, frequency, and stakeholders involved in project communication. This includes regular status meetings, progress reports, and escalation procedures.

Resources needed:
• Project Manager
• Communication Specialist
• Stakeholders",4/14/2026,4/20/2026,0,86e9fdcf-221c-42c6-8646-b1327b5c4b0d,PlanExe
c228d6bd-3904-402c-8025-3a1c467dccb1,Develop Risk Management Plan,"Develop Risk Management Plan

Description:
Identify potential risks and develop mitigation strategies to minimize their impact on the project. This includes creating a risk register, assigning risk owners, and implementing contingency plans.

Resources needed:
• Project Manager
• Risk & Compliance Officer
• Team Leads",4/20/2026,4/26/2026,0,4659013b-9f0f-4d4f-a183-6b276e6b1dd4,PlanExe
2818ac3c-a54b-4c74-ac2e-cca74be134cb,Define Quality Assurance Processes,"Define Quality Assurance Processes

Description:
Establish quality assurance processes and standards to ensure the game meets the required quality levels. This includes defining testing procedures, acceptance criteria, and feedback loops.

Resources needed:
• QA Lead
• Testers
• Game Designers",4/26/2026,5/2/2026,0,e35db2d9-31fc-4334-919e-ee749cd26ca5,PlanExe
d46f1fa4-a60f-4c37-9f57-c3142104d99c,Secure Initial Funding,,5/2/2026,7/1/2026,0,e35db2d9-31fc-4334-919e-ee749cd26ca5,PlanExe
58660ac9-c433-49e6-8515-4b2abeabb5ed,Identify Potential Funding Sources,"Identify Potential Funding Sources

Description:
Research and identify potential funding sources, including publisher advances, strategic partnerships, government grants, and private investors. This involves creating a comprehensive list of potential funding avenues and assessing their suitability for the project.

Resources needed:
• Partnerships & Funding Manager
• Financial Analyst
• Research Team",5/2/2026,5/17/2026,0,d46f1fa4-a60f-4c37-9f57-c3142104d99c,PlanExe
f2595e1b-4d8e-4a04-a92c-2589322c7135,Prepare Funding Proposals and Pitch Decks,"Prepare Funding Proposals and Pitch Decks

Description:
Develop compelling funding proposals and pitch decks tailored to each identified funding source. This includes outlining the project's vision, scope, budget, and potential return on investment. High-quality visuals and clear, concise language are essential.

Resources needed:
• Partnerships & Funding Manager
• Marketing Team
• Financial Analyst
• Legal Counsel",5/17/2026,6/1/2026,0,58660ac9-c433-49e6-8515-4b2abeabb5ed,PlanExe
