project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
04c97117-c848-4462-a345-72012d3048c9,Sovereign Identity,"Sovereign Identity

Final deliverable:
Neutral Framework",3/8/2026,11/30/2027,0,,PlanExe
5684f949-4096-4faa-a559-c2813cce24a3,Project Initiation & Planning,,3/8/2026,9/16/2026,0,04c97117-c848-4462-a345-72012d3048c9,PlanExe
e9788c79-9efa-4408-80e3-33acbf9f1d2f,Secure Project Funding,,3/8/2026,5/7/2026,0,5684f949-4096-4faa-a559-c2813cce24a3,PlanExe
58253600-3d98-493f-bad9-10f0685f387d,Identify Potential Funding Sources,"Identify Potential Funding Sources

Description:
Research and identify potential funding sources, including EU grants, private foundations, and government programs, that align with the project's goals and objectives. This involves searching online databases, attending industry events, and networking with relevant organizations.

Resources needed:
• Policy and Public-Affairs Coordinator
• Lead Researcher
• Grant Writer",3/8/2026,3/23/2026,0,e9788c79-9efa-4408-80e3-33acbf9f1d2f,PlanExe
d78e9950-e138-4f06-b4c6-4ece06dea7f6,Prepare Grant Proposals,"Prepare Grant Proposals

Description:
Develop compelling grant proposals tailored to each identified funding source, highlighting the project's impact, feasibility, and alignment with the funder's priorities. This includes writing detailed project descriptions, budgets, and evaluation plans.

Resources needed:
• Lead Researcher
• Grant Writer
• Financial Auditor",3/23/2026,4/7/2026,0,58253600-3d98-493f-bad9-10f0685f387d,PlanExe
04d31d52-1836-44c0-a951-56f54d5ff9ca,Engage with Funding Organizations,"Engage with Funding Organizations

Description:
Establish communication channels with funding organizations, attend informational webinars, and network with program officers to build relationships and gather insights into their funding priorities and application processes.

Resources needed:
• Policy and Public-Affairs Coordinator
• Lead Researcher",4/7/2026,4/22/2026,0,d78e9950-e138-4f06-b4c6-4ece06dea7f6,PlanExe
7dd9631d-1c80-4333-93ca-96a1106084cd,Manage Currency Exchange Risks,"Manage Currency Exchange Risks

Description:
Develop a strategy for managing currency exchange risks, including monitoring exchange rates, hedging currency fluctuations, and establishing DKK-specific accounting standards for grant management. Consult with a financial advisor specializing in currency risk management.

Resources needed:
• Financial Auditor
• Financial Advisor
• Project Manager",4/22/2026,5/7/2026,0,e9788c79-9efa-4408-80e3-33acbf9f1d2f,PlanExe
6aeeb16e-57bb-4f60-a22d-b04bcf662a54,Establish Physical Base in Copenhagen,,5/7/2026,6/8/2026,0,e9788c79-9efa-4408-80e3-33acbf9f1d2f,PlanExe
8cf0e8d3-c22d-469a-a1ab-bfd671c6b694,Identify potential office spaces in Copenhagen,"Identify potential office spaces in Copenhagen

Description:
Objective: Identify suitable office spaces in Copenhagen that meet the project's requirements.
Scope: Research and compile a list of potential office spaces, considering factors such as location, size, security, and accessibility.
Steps: 1. Define the project's office space requirements. 2. Research available office spaces in Copenhagen using online resources and real estate agents. 3. Compile a list of potential office spaces with relevant details.
Deliverables: A list of potential office spaces in Copenhagen with detailed information.

Resources needed:
• Project Manager
• Real Estate Agent
• Administrative Assistant",5/7/2026,5/15/2026,0,6aeeb16e-57bb-4f60-a22d-b04bcf662a54,PlanExe
d1f31d17-262e-4da5-ac14-8cd3d3277617,Assess security requirements for workspace,"Assess security requirements for workspace

Description:
Objective: Determine the security requirements for the project's workspace.
Scope: Identify and document the security measures necessary to protect sensitive data and equipment.
Steps: 1. Conduct a security risk assessment. 2. Identify security requirements based on the risk assessment. 3. Document the security requirements in a security plan.
Deliverables: A security plan outlining the security requirements for the project's workspace.

Resources needed:
• Security Expert
• Technical Lead
• Lead Researcher",5/15/2026,5/23/2026,0,8cf0e8d3-c22d-469a-a1ab-bfd671c6b694,PlanExe
988a120c-293d-4ba3-b63a-2c41f8f589dc,Negotiate lease terms for selected space,"Negotiate lease terms for selected space

Description:
Objective: Negotiate favorable lease terms for the selected office space.
Scope: Negotiate the lease agreement with the landlord, ensuring that the terms are acceptable to the project.
Steps: 1. Review the lease agreement. 2. Identify areas for negotiation. 3. Negotiate the lease terms with the landlord. 4. Finalize the lease agreement.
Deliverables: A finalized lease agreement for the selected office space.

Resources needed:
• Project Manager
• Legal Counsel
• Real Estate Agent",5/23/2026,5/31/2026,0,d1f31d17-262e-4da5-ac14-8cd3d3277617,PlanExe
2940e67e-338f-4e4e-a442-3a6cd4723785,Prepare workspace for security-sensitive research,"Prepare workspace for security-sensitive research

Description:
Objective: Prepare the workspace to meet the security requirements for security-sensitive digital identity research.
Scope: Implement the necessary security measures to protect sensitive data and equipment.
Steps: 1. Implement the security plan. 2. Install security systems and equipment. 3. Test the security systems and equipment.
Deliverables: A secure workspace ready for security-sensitive digital identity research.

Resources needed:
• Security Expert
• Technical Lead
• Engineer
• Contractor",5/31/2026,6/8/2026,0,6aeeb16e-57bb-4f60-a22d-b04bcf662a54,PlanExe
69f4d01b-b7bd-4e83-89d9-bf196dc7f7df,Define Technical Definitions of Platform Neutrality and Fallback Access,,6/8/2026,6/28/2026,0,6aeeb16e-57bb-4f60-a22d-b04bcf662a54,PlanExe
