project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
de776189-0236-4388-b04d-afc48a489adc,Heatwave Resilience,"Heatwave Resilience

Final deliverable:
Reduced Mortality",2/1/2026,5/11/2027,0,,PlanExe
10e3c465-d3ea-4fb6-8cda-4e1a05e1ceab,Project Initiation & Planning,,2/1/2026,5/15/2026,0,de776189-0236-4388-b04d-afc48a489adc,PlanExe
fad8ae66-9e5a-4c5d-88c8-30ff8542c55c,Secure Initial Funding (€2.0M),,2/1/2026,3/3/2026,0,10e3c465-d3ea-4fb6-8cda-4e1a05e1ceab,PlanExe
b3a1914e-6b42-45a7-9994-aa2e0ea8163d,Prepare funding proposal documentation,"Prepare funding proposal documentation

Description:
Gather and prepare all necessary documents for the funding proposal, including project plans, budgets, and impact assessments. Ensure compliance with funding agency requirements.

Resources needed:
• Project Manager
• Financial Analyst
• Grant Writer",2/1/2026,2/7/2026,0,fad8ae66-9e5a-4c5d-88c8-30ff8542c55c,PlanExe
958ae5b9-0d84-41eb-bfc7-15df4fe52a8b,Submit funding proposal to agency,"Submit funding proposal to agency

Description:
Submit the completed funding proposal to the relevant funding agency. Track the submission and confirm receipt.

Resources needed:
• Project Manager
• Administrative Assistant",2/7/2026,2/13/2026,0,b3a1914e-6b42-45a7-9994-aa2e0ea8163d,PlanExe
6dbf0363-3799-4287-894c-ca7e3a633715,Follow up with funding agency,"Follow up with funding agency

Description:
Maintain communication with the funding agency to address any questions or requests for additional information. Provide updates on project progress and address any concerns.

Resources needed:
• Project Manager
• Communications Specialist",2/13/2026,2/19/2026,0,958ae5b9-0d84-41eb-bfc7-15df4fe52a8b,PlanExe
1326913b-d12a-4b3a-8b88-8e165ff1a35a,Negotiate funding agreement terms,"Negotiate funding agreement terms

Description:
Review and negotiate the terms of the funding agreement with the funding agency. Ensure that the terms are acceptable and align with project goals and objectives.

Resources needed:
• Project Manager
• Legal Counsel
• Financial Analyst",2/19/2026,2/25/2026,0,6dbf0363-3799-4287-894c-ca7e3a633715,PlanExe
8714f030-83b0-4804-8b69-9a17a3b6e575,Execute funding agreement,"Execute funding agreement

Description:
Finalize and execute the funding agreement with the funding agency. Ensure that all necessary signatures and approvals are obtained.

Resources needed:
• Project Manager
• Legal Counsel
• Authorized Signatory",2/25/2026,3/3/2026,0,fad8ae66-9e5a-4c5d-88c8-30ff8542c55c,PlanExe
ac68518c-3098-41d0-b543-21bd84eb067e,Establish Project Governance Structure,,3/3/2026,3/11/2026,0,fad8ae66-9e5a-4c5d-88c8-30ff8542c55c,PlanExe
e5158004-8910-46cf-9f41-e44ca3258158,Identify Key Stakeholders,"Identify Key Stakeholders

Description:
Identify all individuals and groups who have an interest in or are affected by the project. This includes municipal staff, contractors, NGOs, healthcare providers, and vulnerable populations.

Resources needed:
• Project Manager
• Stakeholder Analysis Template",3/3/2026,3/5/2026,0,ac68518c-3098-41d0-b543-21bd84eb067e,PlanExe
4a42237b-1fe8-47eb-b68c-17c490306bf5,Define Roles and Responsibilities,"Define Roles and Responsibilities

Description:
Clearly define the roles and responsibilities of each stakeholder in the project governance structure. This includes decision-making authority, communication channels, and reporting requirements.

Resources needed:
• Project Manager
• RACI Matrix Template
• Stakeholder Representatives",3/5/2026,3/7/2026,0,e5158004-8910-46cf-9f41-e44ca3258158,PlanExe
0afa0c54-f700-4351-a5a2-69e53937439d,Establish Decision-Making Processes,"Establish Decision-Making Processes

Description:
Establish clear and transparent decision-making processes for the project. This includes defining the criteria for making decisions, the individuals or groups responsible for making decisions, and the process for escalating issues.

Resources needed:
• Project Manager
• Stakeholder Representatives
• Decision-Making Framework Template",3/7/2026,3/9/2026,0,4a42237b-1fe8-47eb-b68c-17c490306bf5,PlanExe
f81fb67a-251a-43c1-8e61-e7e030393071,Develop Communication Plan,"Develop Communication Plan

Description:
Develop a communication plan that outlines how information will be shared with stakeholders throughout the project lifecycle. This includes the frequency of communication, the channels of communication, and the types of information that will be shared.

Resources needed:
• Project Manager
• Communication Plan Template
• Stakeholder List",3/9/2026,3/11/2026,0,ac68518c-3098-41d0-b543-21bd84eb067e,PlanExe
902160d8-03b4-42fd-ad2f-b3d00fa775ad,Develop Detailed Project Schedule,,3/11/2026,3/21/2026,0,ac68518c-3098-41d0-b543-21bd84eb067e,PlanExe
e6045fd7-e770-4a59-a27a-9bd19c921e34,Define Task Dependencies and Sequencing,"Define Task Dependencies and Sequencing

Description:
Identify all tasks, their dependencies, and the optimal sequence for execution. This involves creating a dependency diagram and determining the critical path.

Resources needed:
• Project Manager
• Team Leads
• Scheduling Software",3/11/2026,3/13/2026,0,902160d8-03b4-42fd-ad2f-b3d00fa775ad,PlanExe
2540de3c-ed96-4ba6-9302-1a4fb6e487f2,Estimate Task Durations and Resource Needs,"Estimate Task Durations and Resource Needs

Description:
Estimate the time required to complete each task and the resources (personnel, equipment, materials) needed. This includes considering potential risks and uncertainties.

Resources needed:
• Project Manager
• Subject Matter Experts
• Historical Data",3/13/2026,3/15/2026,0,e6045fd7-e770-4a59-a27a-9bd19c921e34,PlanExe
9566ff46-5ca8-425c-b3b1-915cb6e1d0f3,Develop Initial Project Schedule Draft,"Develop Initial Project Schedule Draft

Description:
Create a preliminary project schedule based on the task dependencies, durations, and resource availability. This involves using scheduling software to generate a Gantt chart or similar visualization.

Resources needed:
• Project Manager
• Scheduling Software",3/15/2026,3/17/2026,0,2540de3c-ed96-4ba6-9302-1a4fb6e487f2,PlanExe
23a84fb3-2f7d-46ac-9202-886caa1f5bef,Review and Refine Project Schedule,"Review and Refine Project Schedule

Description:
Review the initial project schedule with stakeholders to identify potential issues, constraints, or opportunities for optimization. Refine the schedule based on feedback and incorporate any necessary adjustments.

Resources needed:
• Project Manager
• Stakeholders
• Team Leads",3/17/2026,3/19/2026,0,9566ff46-5ca8-425c-b3b1-915cb6e1d0f3,PlanExe
19ab7224-fea3-45b7-a6f8-5b5259a99b18,Finalize and Baseline Project Schedule,"Finalize and Baseline Project Schedule

Description:
Finalize the project schedule after incorporating all feedback and adjustments. Baseline the schedule to provide a reference point for tracking progress and managing changes.

Resources needed:
• Project Manager
• Project Sponsor",3/19/2026,3/21/2026,0,902160d8-03b4-42fd-ad2f-b3d00fa775ad,PlanExe
4b77ae74-aa8e-4005-a6bb-042878ce1a8b,Define Data Acquisition Strategy (GDPR Compliance),,3/21/2026,3/31/2026,0,902160d8-03b4-42fd-ad2f-b3d00fa775ad,PlanExe
5efe4c73-25c1-4365-8cae-c2f79576f710,Identify Applicable GDPR Regulations,"Identify Applicable GDPR Regulations

Description:
Objective: Determine all relevant GDPR articles and guidelines impacting data collection, processing, and storage for the heatwave response program.
Scope: Review GDPR documentation, consult legal databases, and engage with a GDPR compliance expert.
Steps:
1.  Review the project's data collection and usage plan.
2.  Identify the types of personal data being collected (e.g., health data, location data).
3.  Research relevant GDPR articles pertaining to the processing of sensitive data.
4.  Document all applicable GDPR requirements.
Deliverables: A comprehensive list of GDPR articles and guidelines relevant to the project.

Resources needed:
• Project Manager
• GDPR Compliance Expert
• Legal Counsel
• Data Analyst",3/21/2026,3/23/2026,0,4b77ae74-aa8e-4005-a6bb-042878ce1a8b,PlanExe
daab0347-b04b-40e4-9439-277df2db5128,Assess Data Collection Methods,"Assess Data Collection Methods

Description:
Objective: Evaluate existing and proposed data collection methods for compliance with GDPR principles, including data minimization, purpose limitation, and storage limitation.
Scope: Analyze data collection forms, processes, and systems to identify potential compliance gaps.
Steps:
1.  Map all data collection points and processes.
2.  Assess the necessity and proportionality of each data element collected.
3.  Identify potential risks related to data security and privacy.
4.  Document findings and recommendations for improvement.
Deliverables: A report outlining the assessment of data collection methods and recommendations for GDPR compliance.

Resources needed:
• Data Analyst
• GDPR Compliance Expert
• Project Manager",3/23/2026,3/25/2026,0,5efe4c73-25c1-4365-8cae-c2f79576f710,PlanExe
a77a7b73-cf95-4a99-8288-8304ff2ac9ef,Develop GDPR Compliance Plan,"Develop GDPR Compliance Plan

Description:
Objective: Create a detailed plan outlining the steps necessary to ensure GDPR compliance throughout the project lifecycle.
Scope: Define specific actions, timelines, and responsibilities for addressing identified compliance gaps.
Steps:
1.  Prioritize compliance gaps based on risk level.
2.  Develop specific action plans for each gap, including data security measures, consent mechanisms, and data subject rights procedures.
3.  Assign responsibilities and timelines for implementation.
4.  Document the GDPR compliance plan.
Deliverables: A comprehensive GDPR compliance plan with actionable steps and timelines.

Resources needed:
• Project Manager
• GDPR Compliance Expert
• Legal Counsel
• Data Analyst",3/25/2026,3/27/2026,0,daab0347-b04b-40e4-9439-277df2db5128,PlanExe
50f4a194-f134-416c-840d-11fba983f781,Implement Data Security Measures,"Implement Data Security Measures

Description:
Objective: Implement technical and organizational measures to protect personal data from unauthorized access, use, or disclosure, in accordance with GDPR requirements.
Scope: Implement data encryption, access controls, data anonymization techniques, and data breach response procedures.
Steps:
1.  Implement data encryption at rest and in transit.
2.  Establish strict access controls based on the principle of least privilege.
3.  Implement data anonymization or pseudonymization techniques where appropriate.
4.  Develop and test a data breach response plan.
Deliverables: Implemented data security measures and a documented data breach response plan.

Resources needed:
• IT Security Specialist
• Data Analyst
• GDPR Compliance Expert",3/27/2026,3/29/2026,0,a77a7b73-cf95-4a99-8288-8304ff2ac9ef,PlanExe
