Level 1;Level 2;Level 3;Level 4;Task ID
Sovereign Identity;;;;04c97117-c848-4462-a345-72012d3048c9
;Project Initiation & Planning;;;5684f949-4096-4faa-a559-c2813cce24a3
;;Secure Project Funding;;e9788c79-9efa-4408-80e3-33acbf9f1d2f
;;;Identify Potential Funding Sources;58253600-3d98-493f-bad9-10f0685f387d
;;;Prepare Grant Proposals;d78e9950-e138-4f06-b4c6-4ece06dea7f6
;;;Engage with Funding Organizations;04d31d52-1836-44c0-a951-56f54d5ff9ca
;;;Manage Currency Exchange Risks;7dd9631d-1c80-4333-93ca-96a1106084cd
;;Establish Physical Base in Copenhagen;;6aeeb16e-57bb-4f60-a22d-b04bcf662a54
;;;Identify potential office spaces in Copenhagen;8cf0e8d3-c22d-469a-a1ab-bfd671c6b694
;;;Assess security requirements for workspace;d1f31d17-262e-4da5-ac14-8cd3d3277617
;;;Negotiate lease terms for selected space;988a120c-293d-4ba3-b63a-2c41f8f589dc
;;;Prepare workspace for security-sensitive research;2940e67e-338f-4e4e-a442-3a6cd4723785
;;Define Technical Definitions of Platform Neutrality and Fallback Access;;69f4d01b-b7bd-4e83-89d9-bf196dc7f7df
;;;Research Platform Neutrality Definitions;2f5c3216-558f-4686-900b-4306b42ae900
;;;Define Fallback Access Requirements;40bbcfb5-e464-4820-ae15-b2f0478b52bb
;;;Analyze AltID Technical Constraints;494b7356-c158-4d61-a311-53305dd21720
;;;Draft Technical Definitions Document;c178a3be-dd45-4464-b764-df7463c418ac
;;Develop Comprehensive Security Strategy;;870a5b4c-f42d-48ee-b463-5cf00d61393d
;;;Identify Security Risks and Threats;1e524d0a-48a0-4992-acd0-0175f215db30
;;;Develop Security Policies and Procedures;0f002bd9-809d-459a-b912-091f0a61b8ba
;;;Implement Security Controls and Measures;532c8397-3df1-4b75-bffb-486c71a55af3
;;;Establish Incident Response Plan;e09cd39e-f4cf-4180-9077-2f5f9b5d816f
;;Develop Alternative Scenarios and Intervention Points;;845e209d-90ea-4313-92fa-6837fed213ca
;;;Identify Alternative Legal Pathways;6e94a2c8-bf97-425c-9b60-d6fca79afbdd
;;;Explore Unilateral Actions for Digital Sovereignty;ba8066b2-c8c8-4ca3-9ba1-76db5eb0f1f7
;;;Research Alternative Technical Standards;47917541-aa78-4cbb-89cb-7ce158ecb0d3
;;;Conduct Scenario Planning Workshops;68c87288-f12b-4db6-bd57-9de993b2492f
;;Define Technical Standards and Certification Strategy;;4f5f68af-1207-4252-a0f2-054765ccb987
;;;Research relevant technical standards;9db5800f-c4bf-457d-908b-72913db82610
;;;Analyze eIDAS certification schemes;4e9990fc-2bcc-4c55-960d-32d8d7b69b75
;;;Engage with standards bodies;ba83a385-3f8f-48d7-b8dc-ba1275345ce3
;;;Develop certification strategy;fd990824-100a-4f40-8c6b-575501306cb2
;Technical Feasibility Demonstrations;;;def01dd8-b255-45c9-ac06-49e4e7dc6199
;;Develop FIDO2 Demonstrator on GrapheneOS;;90d8943b-5b2d-4e30-adf1-bdf6b6953ec2
;;;Set up GrapheneOS development environment;004530d4-15c5-42ec-934b-c1366dc73b03
;;;Implement FIDO2 authentication flow;b6a7f206-97a2-44c5-b050-a6dcb9d885f1
;;;Integrate with test authentication server;0eb3c4f7-9b27-4883-acd3-7a277b0698e0
;;;Secure FIDO2 implementation on GrapheneOS;63aa453f-1083-4561-a775-794d3ce62244
