project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
ff827cb8-4d14-45c1-bb00-c79499f5222d,Hong Kong Game,"Hong Kong Game

Final deliverable:
Theatrical Release",3/10/2026,10/13/2029,0,,PlanExe
dfacbf8c-f552-45fd-b070-3ed3181efe1d,Project Initiation,,3/10/2026,2/20/2027,0,ff827cb8-4d14-45c1-bb00-c79499f5222d,PlanExe
65cd5530-c423-4ce0-a52f-df6dc2d9aba2,Secure IP Rights,,3/10/2026,5/9/2026,0,dfacbf8c-f552-45fd-b070-3ed3181efe1d,PlanExe
512bb346-0a0b-4135-bab1-76709bb5fc04,Identify Rights Holders,"Identify Rights Holders

Description:
Determine the current rights holder of 'The Game' (Propaganda Films/PolyGram, now likely Universal) and their contact information. This involves title searches, copyright record reviews, and industry database research.

Resources needed:
• Rights Acquisition Specialist
• Legal Counsel
• Industry Databases (IMDbPro, LexisNexis)",3/10/2026,3/22/2026,0,65cd5530-c423-4ce0-a52f-df6dc2d9aba2,PlanExe
9add1c86-c166-488c-8101-505f6b862dfe,Assess Rights Availability and Scope,"Assess Rights Availability and Scope

Description:
Evaluate the scope of rights available (remake, sequel, etc.) and any existing encumbrances or claims on the rights. This includes legal due diligence and consultation with entertainment lawyers.

Resources needed:
• Legal Counsel
• Rights Acquisition Specialist
• Entertainment Lawyer (US & HK)",3/22/2026,4/3/2026,0,512bb346-0a0b-4135-bab1-76709bb5fc04,PlanExe
c7c7122b-7126-4893-ab61-55654ae56b2b,Negotiate Remake Rights,"Negotiate Remake Rights

Description:
Negotiate with the rights holder (Propaganda Films / PolyGram (Universal)) to secure remake rights for 'The Game'. This involves preparing a detailed valuation of the IP rights and exploring alternative acquisition strategies, including licensing options.

Resources needed:
• Producer
• Rights Acquisition Specialist
• Legal Counsel
• Negotiation Expert",4/3/2026,4/15/2026,0,9add1c86-c166-488c-8101-505f6b862dfe,PlanExe
6062b8b1-d215-4dfc-a0c1-c246e237df00,Draft Rights Agreement,"Draft Rights Agreement

Description:
Draft a legally sound rights agreement that clearly defines the scope of rights acquired, payment terms, and other relevant clauses. This requires collaboration between legal counsel and the rights holder.

Resources needed:
• Legal Counsel
• Rights Acquisition Specialist",4/15/2026,4/27/2026,0,c7c7122b-7126-4893-ab61-55654ae56b2b,PlanExe
62e8e54b-f7cc-4692-bf32-f646ec9bfb01,Finalize and Execute Agreement,"Finalize and Execute Agreement

Description:
Finalize the rights agreement based on feedback from all parties and execute the agreement. This includes obtaining necessary signatures and ensuring that all legal requirements are met.

Resources needed:
• Producer
• Legal Counsel
• Rights Acquisition Specialist",4/27/2026,5/9/2026,0,65cd5530-c423-4ce0-a52f-df6dc2d9aba2,PlanExe
1937fa8f-c3cb-43fb-8d23-4cc693e1025c,Secure Funding,,5/9/2026,9/6/2026,0,65cd5530-c423-4ce0-a52f-df6dc2d9aba2,PlanExe
4cf96d54-1c52-4486-a308-3d1e572331a5,Outline screenplay adaptation structure,"Outline screenplay adaptation structure

Description:
Develop a detailed outline of the screenplay adaptation, including key plot points, character arcs, and thematic elements, ensuring it aligns with the Hong Kong setting and modern audience expectations.

Resources needed:
• Screenwriter
• Director
• Producer",5/9/2026,6/2/2026,0,1937fa8f-c3cb-43fb-8d23-4cc693e1025c,PlanExe
