project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
83e3eb61-0e53-4a94-9e79-281eec7ead03,Crate Recovery Campaign,"Crate Recovery Campaign

Final deliverable:
40% Crate Recovery",3/3/2026,5/27/2028,0,,PlanExe
d29e4196-ef8f-4c4f-93e5-e95381348182,Decision Finalization and Regulatory Frontloading,,3/3/2026,6/4/2026,0,83e3eb61-0e53-4a94-9e79-281eec7ead03,PlanExe
192d2a61-1575-431b-b9c9-a41531164aae,Finalize Strategic Build Decisions (Level 2 Selection),,3/3/2026,3/12/2026,0,d29e4196-ef8f-4c4f-93e5-e95381348182,PlanExe
f28f9370-fe37-4ee6-bbfc-2651801d5249,Finalize 'Builder' logistical framework approval,"Finalize 'Builder' logistical framework approval

Description:
The core task is to secure executive sign-off on the chosen 'Builder' strategy, which defines the balance between municipal and retail collection channels. This involves presenting a final, detailed comparative analysis of the Builder vs. Challenger logistical paths, highlighting recovery projections, budget burn rates, and mitigation effectiveness against key identified risks (e.g., municipal overload).

Resources needed:
• Senior Steering Committee Members (Decision Makers)
• Financial Modeler
• Risk Analysis Lead",3/3/2026,3/6/2026,0,192d2a61-1575-431b-b9c9-a41531164aae,PlanExe
cb4828bc-0621-4842-9c95-dbc22429d430,Develop builder path impact assessment documentation,"Develop builder path impact assessment documentation

Description:
Create the comprehensive document package required for the final decision workshop. This package must include detailed financial modeling (Budget Line 1.8M DKK vs. anticipated impact), refined operational load maps for QA Hubs based on the Builder scenario, and a finalized stakeholder commitment matrix showing required approvals for the Q2/Q3 transition.

Resources needed:
• Project Manager
• Logistics Planning Team
• Budget Steward",3/6/2026,3/9/2026,0,f28f9370-fe37-4ee6-bbfc-2651801d5249,PlanExe
037f290d-5f7e-4e2e-ae64-daa5a5a52128,Present and defend logistical design to leadership,"Present and defend logistical design to leadership

Description:
Conduct the formal presentation and Q&A session with the executive steering committee to obtain the final, binding commitment to the 'Builder' logistical strategy. This stage requires successfully defending the proposed reliance on municipal SLAs and the required staffing coefficients for the QA Hubs.

Resources needed:
• Project Sponsor
• Logistics Lead
• Executive Committee Time",3/9/2026,3/12/2026,0,192d2a61-1575-431b-b9c9-a41531164aae,PlanExe
fb5542d6-0bd3-4d26-b44a-7ca51ec411af,Submit Cleaning Agents to Danish EPA for Reuse Certification,,3/12/2026,4/17/2026,0,192d2a61-1575-431b-b9c9-a41531164aae,PlanExe
c725382a-a951-4e96-9295-ec881cc35fa9,Define RTSDR Schema with Procurement,"Define RTSDR Schema with Procurement

Description:
Establish the exact data fields, format, and transfer mechanism for the 'Ready-to-Deploy Stock Report' (RTSDR) that will inform Arla Procurement's 2027 production forecast. This ensures recovered crates are accounted for as reusable assets.

Resources needed:
• Reverse Logistics Lead
• Arla Procurement Data Analyst
• QA Hub Operations Lead",3/12/2026,3/24/2026,0,fb5542d6-0bd3-4d26-b44a-7ca51ec411af,PlanExe
96a0e611-4bf5-4871-9734-419b4a8e02ba,Develop Data Transfer Integration Protocol,"Develop Data Transfer Integration Protocol

Description:
Build and test the technical pipeline (API or secure file transfer) allowing QA Hub system output to reliably push the finalized RTSDR data into Arla's ERP/forecasting system. This must be tested end-to-end before the September 3rd deadline.

Resources needed:
• IT Systems Integrator
• Arla ERP Specialist
• QA Systems Administrator",3/24/2026,4/5/2026,0,c725382a-a951-4e96-9295-ec881cc35fa9,PlanExe
9ff74296-2178-49eb-b380-689cc0b37507,Formalize Synchronization Meeting Cadence,"Formalize Synchronization Meeting Cadence

Description:
Schedule and confirm the standing monthly meeting cadence between QA Hub Logistics and Procurement/Asset Lifecycle starting September 3rd. Document the meeting structure, required attendees, and official minute-taking responsibilities.

Resources needed:
• Project Coordinator
• Procurement Manager
• QA Hub Manager",4/5/2026,4/17/2026,0,fb5542d6-0bd3-4d26-b44a-7ca51ec411af,PlanExe
3481d2ff-433f-4bd3-938e-61333a8127a3,Finalize KPI Baseline Reporting Structure with Procurement,,4/17/2026,5/5/2026,0,fb5542d6-0bd3-4d26-b44a-7ca51ec411af,PlanExe
