project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
f74a79bc-497f-4d79-9c7f-f968f50b2149,Yellowstone Evacuation,"Yellowstone Evacuation

Final deliverable:
Safe Evacuation",2/1/2026,11/6/2028,0,,PlanExe
bee241f0-4aa5-41fc-8d68-ed3aeb9b7dc6,Project Initiation & Planning,,2/1/2026,3/1/2026,0,f74a79bc-497f-4d79-9c7f-f968f50b2149,PlanExe
51e3aed6-132a-4ea5-b5d9-f4a7728cd9e4,Define Project Scope and Objectives,,2/1/2026,2/5/2026,0,bee241f0-4aa5-41fc-8d68-ed3aeb9b7dc6,PlanExe
ee690c20-6ce3-4bb5-836d-516e0ecb01f5,Gather Stakeholder Requirements,"Gather Stakeholder Requirements

Description:
Collect detailed requirements from all key stakeholders regarding evacuation procedures, resource allocation, and communication protocols. This involves conducting interviews, surveys, and workshops to ensure a comprehensive understanding of their needs and expectations.

Resources needed:
• Project Manager
• Business Analyst
• Subject Matter Experts",2/1/2026,2/2/2026,0,51e3aed6-132a-4ea5-b5d9-f4a7728cd9e4,PlanExe
86568f7c-5ff6-4bc5-8a1e-585f0a094347,Document Project Objectives,"Document Project Objectives

Description:
Create a clear and concise document outlining the specific, measurable, achievable, relevant, and time-bound (SMART) objectives of the Yellowstone evacuation project. This document will serve as a guiding principle for all subsequent project activities.

Resources needed:
• Project Manager
• Technical Writer
• Stakeholder Representatives",2/2/2026,2/3/2026,0,ee690c20-6ce3-4bb5-836d-516e0ecb01f5,PlanExe
2c31b8d1-9055-469e-8444-ed29c2e791ca,Prioritize Project Objectives,"Prioritize Project Objectives

Description:
Rank the project objectives based on their importance and impact on the overall success of the evacuation effort. This prioritization will help to focus resources and efforts on the most critical aspects of the project.

Resources needed:
• Project Manager
• Stakeholder Representatives
• Risk Assessment Team",2/3/2026,2/4/2026,0,86568f7c-5ff6-4bc5-8a1e-585f0a094347,PlanExe
13d210ab-309d-4cda-bcc2-2acb7068a307,Define Project Scope Boundaries,"Define Project Scope Boundaries

Description:
Clearly define the boundaries of the project, including the geographic area covered, the types of activities included, and the resources allocated. This will help to prevent scope creep and ensure that the project remains focused on its core objectives.

Resources needed:
• Project Manager
• Geographic Information System (GIS) Specialist
• Emergency Management Expert",2/4/2026,2/5/2026,0,51e3aed6-132a-4ea5-b5d9-f4a7728cd9e4,PlanExe
2335f00b-553d-4c79-ad84-e4e4a5ab231e,Identify Stakeholders,,2/5/2026,2/9/2026,0,51e3aed6-132a-4ea5-b5d9-f4a7728cd9e4,PlanExe
c22264c2-4ea2-42a7-a83b-6c9cb5444d1e,Identify Key Stakeholder Groups,"Identify Key Stakeholder Groups

Description:
Identify all relevant stakeholder groups, including internal teams, external partners, regulatory bodies, and community representatives. Determine their roles, responsibilities, and levels of influence.

Resources needed:
• Project Manager
• Communication Specialist
• Stakeholder Analysis Template",2/5/2026,2/6/2026,0,2335f00b-553d-4c79-ad84-e4e4a5ab231e,PlanExe
f8d01614-e3d5-4c4b-9f18-a5214c670552,Map Stakeholder Communication Preferences,"Map Stakeholder Communication Preferences

Description:
Determine the preferred communication channels, frequency, and level of detail for each stakeholder group. Consider factors such as their technical expertise, time constraints, and cultural background.

Resources needed:
• Communication Specialist
• Survey Tools
• Stakeholder Contact List",2/6/2026,2/7/2026,0,c22264c2-4ea2-42a7-a83b-6c9cb5444d1e,PlanExe
